"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment","SMD"
"C68","C0402","50.241mm","29.134mm","50.244mm","29.128mm","49.744mm","29.128mm","T","0","DNP/47nF","True"
"R69","R0402","48.209mm","33.426mm","48.212mm","33.446mm","48.212mm","32.946mm","T","90","300R","True"
"C67","C0402","46.685mm","31.674mm","46.688mm","31.668mm","46.188mm","31.668mm","T","0","1nF/C0G","True"
"LED2","LED0603_GREEN","20.269mm","35.408mm","20.272mm","35.4mm","20.272mm","36.162mm","T","270","»ÆÂÌÉ«","True"
"R62","R0603","5.029mm","78.359mm","5.032mm","78.362mm","4.27mm","78.362mm","B","0","1M","True"
"D16","SOD123F","5.41mm","19.228mm","5.413mm","19.222mm","4.013mm","19.222mm","T","0","DSK24/40V/2A","True"
"LCD1","LCD-128X160-1.77INCH_IPS_SOLDER_FLIP_TOP","23.978mm","77.597mm","60.05mm","77.6mm","23.97mm","82.8mm","B","90","LCD_Universal_128x160_14pin+SOLDER","True"
"LCD2","LCD-128X160-1.77INCH_IPS_PLUG_FLIP_BACK_FH34SRJ-14S-0.5SH(50)","49.835mm","77.597mm","60.05mm","77.6mm","51.2mm","80.85mm","T","90","LCD_Universal_128x160_14pin+CONN","True"
"R68","R0402","9.347mm","15.164mm","9.35mm","15.158mm","8.85mm","15.158mm","T","0","33R","True"
"R21","R0402","9.347mm","16.434mm","9.35mm","16.428mm","8.85mm","16.428mm","T","0","33R","True"
"P2","MOLEX_53780-0270+MOLEX_51146-0200 MINI","7.315mm","21.59mm","7.3mm","20.1mm","6.675mm","19.15mm","B","0","CONN_X2 MOLEX 53780-0270 / 51146-0200","True"
"D15","SMAF - BI","71.704mm","21.006mm","71.7mm","21mm","71.7mm","19mm","T","90","DNP/SMAFJ26CA","True"
"C46","C0805","34.493mm","35.484mm","34.496mm","35.478mm","34.496mm","34.557mm","T","90","10uF","True"
"D14","SMAF - BI","60.147mm","33.325mm","60.15mm","33.319mm","62.15mm","33.319mm","T","180","DNP/SMAFJ26CA","True"
"D13","SOD123F","23.317mm","21.895mm","23.32mm","21.889mm","24.72mm","21.889mm","T","180","DSK24/40V/2A","True"
"D12","SOD123F","41.859mm","22.784mm","41.862mm","22.778mm","41.862mm","21.378mm","T","90","DSK24/40V/2A","True"
"D11","SOD-323","34.112mm","29.87mm","34.115mm","29.89mm","34.115mm","31.04mm","T","270","BZX384-B5V6","True"
"D10","SOD-323","43.129mm","32.41mm","43.132mm","32.43mm","43.132mm","31.28mm","T","90","BZX384-B5V6","True"
"D9","SOD-323","27.127mm","26.975mm","27.13mm","26.969mm","28.28mm","26.969mm","T","180","BZX384-B3V3","True"
"D8","SOD-323","43.51mm","26.568mm","43.513mm","26.588mm","43.513mm","25.438mm","T","90","BZX384-B3V3","True"
"R67","R0603","10.77mm","27.61mm","10.78mm","27.604mm","10.78mm","28.366mm","B","270","0R/NTC-10K","True"
"U7","TI PVSON-10 3x3MM DRC","25.349mm","31.166mm","25.352mm","31.16mm","26.352mm","32.635mm","T","270","TPS63000","True"
"C71","C0402","14.681mm","18.974mm","14.684mm","18.968mm","15.184mm","18.968mm","T","180","100nF","True"
"R8","R0402","39.319mm","11.074mm","39.322mm","11.094mm","39.322mm","10.594mm","T","90","DNP","True"
"R6","R0402","38.811mm","14.148mm","38.814mm","14.142mm","39.314mm","14.142mm","T","180","0R","True"
"C6","C0402","38.811mm","12.878mm","38.814mm","12.872mm","39.314mm","12.872mm","T","180","DNP","True"
"R57","R0402","24.841mm","17.577mm","24.844mm","17.571mm","25.344mm","17.571mm","T","180","33R","True"
"L8","FER0805","31.445mm","29.007mm","31.448mm","29.001mm","32.369mm","29.001mm","T","180","1K@100MHz","True"
"R37","R0603","16.332mm","37.262mm","16.335mm","37.256mm","17.097mm","37.256mm","T","180","0R/DNP","True"
"R4","R0402","48.717mm","13.386mm","48.72mm","13.38mm","48.22mm","13.38mm","T","0","7.5K","True"
"C2","C0402","51.003mm","14.656mm","51.006mm","14.65mm","51.506mm","14.65mm","T","180","22pF/C0G","True"
"C15","CAP_POL_3216","59.639mm","12.878mm","59.642mm","12.872mm","61.042mm","12.872mm","T","180","22uF/10V","True"
"J4","MCX_WE_60611002111502","71.704mm","33.757mm","71.7mm","33.75mm","71.7mm","33.75mm","B","90","CONN_MCX","False"
"J3","MCX_WE_60611002111502","71.704mm","25.248mm","71.7mm","25.25mm","71.7mm","25.25mm","B","90","CONN_MCX","False"
"J2","MCX_WE_60611002111502","71.704mm","16.739mm","71.7mm","16.75mm","71.7mm","16.75mm","B","90","CONN_MCX","False"
"J1","MCX_WE_60611002111502","71.704mm","8.255mm","71.7mm","8.25mm","71.7mm","8.25mm","B","90","CONN_MCX","False"
"R29","R0402","47.193mm","24.536mm","47.196mm","24.556mm","47.196mm","24.056mm","T","90","100K","True"
"R27","R0402","50.241mm","27.864mm","50.244mm","27.858mm","50.744mm","27.858mm","T","180","0R/51R","True"
"L13","FER0805","4.394mm","84.836mm","4.397mm","84.839mm","4.397mm","85.76mm","B","270","1K@100MHz","True"
"C65","C0805","6.426mm","84.836mm","6.429mm","84.839mm","6.429mm","85.76mm","B","270","10uF","True"
"C11","C0402","45.161mm","10.058mm","45.164mm","10.078mm","45.164mm","9.578mm","T","90","DNP","True"
"C1","C0402","53.797mm","8.788mm","53.8mm","8.808mm","53.8mm","8.308mm","T","90","DNP","True"
"C27","C0603","47.955mm","26.594mm","47.958mm","26.588mm","48.72mm","26.588mm","T","180","2.2uF/DNP","True"
"C25","C0805","47.447mm","22.022mm","47.45mm","22.016mm","46.529mm","22.016mm","T","0","DNP/1uF","True"
